subject,trial,slotchoice,reward,ExpectedValue,RPE
1030,1,3,1,0.000000,1.000000
1030,2,1,1,0.000000,1.000000
1030,3,1,1,0.092579,0.907421
1030,4,3,1,0.092579,0.907421
1030,5,2,0,0.000000,0.000000
1030,6,3,1,0.176587,0.823413
1030,7,3,-1,0.252818,-1.252818
1030,8,3,0,0.229252,-0.229252
1030,9,1,1,0.176587,0.823413
1030,10,1,1,0.252818,0.747182
1030,11,1,1,0.321991,0.678009
1030,12,3,0,0.224940,-0.224940
1030,13,1,1,0.384761,0.615239
1030,14,1,0,0.441719,-0.441719
1030,15,2,-1,0.000000,-1.000000
1030,16,3,-1,0.220709,-1.220709
1030,17,3,0,0.197747,-0.197747
1030,18,1,1,0.433410,0.566590
1030,19,3,-1,0.194027,-1.194027
1030,20,3,1,0.171567,0.828433
1030,21,1,1,0.485865,0.514135
1030,22,1,1,0.533463,0.466537
1030,23,2,0,-0.018810,0.018810
1030,24,3,0,0.248262,-0.248262
1030,25,1,1,0.576654,0.423346
1030,26,1,0,0.615847,-0.615847
1030,27,3,1,0.243592,0.756408
1030,28,3,-1,0.313620,-1.313620
1030,29,3,-1,0.288910,-1.288910
1030,30,3,0,0.264665,-0.264665
1030,31,1,1,0.604263,0.395737
1030,32,3,-1,0.259687,-1.259687
1030,33,3,1,0.235992,0.764008
1030,34,-99,-199,-99.000000,-99.000000
1030,35,1,1,0.640900,0.359100
1030,36,1,0,0.674145,-0.674145
1030,37,3,-1,0.306723,-1.306723
1030,38,3,1,0.282143,0.717857
1030,39,3,1,0.348601,0.651399
1030,40,1,0,0.661464,-0.661464
1030,41,3,-1,0.408907,-1.408907
1030,42,2,-1,-0.017069,-0.982931
1030,43,3,0,0.382405,-0.382405
1030,44,1,1,0.649022,0.350978
1030,45,3,1,0.375212,0.624788
1030,46,3,1,0.433054,0.566946
1030,47,3,-1,0.485542,-1.485542
1030,48,3,0,0.457598,-0.457598
1030,49,1,1,0.681515,0.318485
1030,50,1,1,0.711000,0.289000
1030,51,1,1,0.737755,0.262245
1030,52,1,1,0.762034,0.237966
1030,53,-99,-199,-99.000000,-99.000000
1030,54,3,-1,0.448990,-1.448990
1030,55,3,-1,0.421734,-1.421734
1030,56,2,-1,-0.035558,-0.964442
1030,57,3,0,0.394991,-0.394991
1030,58,3,0,0.387561,-0.387561
1030,59,3,-1,0.380271,-1.380271
1030,60,1,0,0.784064,-0.784064
1030,61,1,1,0.769316,0.230684
1030,62,3,1,0.354308,0.645692
1030,63,1,1,0.790672,0.209328
1030,64,1,1,0.810052,0.189948
1030,65,1,1,0.827637,0.172363
1030,66,1,1,0.843594,0.156406
1030,67,3,0,0.414085,-0.414085
1030,68,3,-1,0.406296,-1.406296
1030,69,1,1,0.858074,0.141926
1030,70,-99,-199,-99.000000,-99.000000
1030,71,1,1,0.871213,0.128787
1030,72,-99,-199,-99.000000,-99.000000
1030,73,1,1,0.883136,0.116864
1030,74,1,1,0.893956,0.106044
1030,75,3,1,0.379843,0.620157
1030,76,3,1,0.437257,0.562743
1030,77,1,1,0.903773,0.096227
1030,78,1,0,0.912682,-0.912682
1030,79,3,0,0.489355,-0.489355
1030,80,3,-1,0.480150,-1.480150
1030,81,1,0,0.895514,-0.895514
1030,82,-99,-199,-99.000000,-99.000000
1030,83,1,1,0.878669,0.121331
1030,84,1,1,0.889902,0.110098
1030,85,-99,-199,-99.000000,-99.000000
1030,86,3,-1,0.452308,-1.452308
1030,87,3,-1,0.424989,-1.424989
1030,88,1,1,0.900094,0.099906
1030,89,1,1,0.909344,0.090656
1030,90,3,1,0.398185,0.601815
1030,91,-99,-199,-99.000000,-99.000000
1030,92,3,1,0.453900,0.546100
1030,93,1,1,0.917736,0.082264
1030,94,1,1,0.925352,0.074648
1030,95,3,-1,0.504458,-1.504458
1030,96,-99,-199,-99.000000,-99.000000
1030,97,3,-1,0.476158,-1.476158
1030,98,1,0,0.932263,-0.932263
1030,99,1,1,0.914727,0.085273
1030,100,3,0,0.448391,-0.448391
