subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.370897,0.078840,6.067585,1.296236,0.735675,41.978552
1019,Social,0.181537,0.053253,6.291824,1.432121,0.691518,47.037901
1020,Money,0.310058,0.078324,5.723563,1.322105,0.705845,44.839772
1020,Social,0.147346,0.100774,7.163971,3.444348,0.732613,41.180727
1030,Money,0.182961,0.081714,1.708609,0.606022,0.059161,102.461526
1030,Social,0.335994,0.111829,2.956029,0.623930,0.385042,78.719469
2001,Money,0.018563,0.013541,5.455842,3.195114,0.183544,110.865995
2001,Social,0.760653,0.188150,3.334819,1.077525,0.313798,93.640971
2004,Money,0.330839,0.110625,10.072004,3.211861,0.937047,16.854005
2004,Social,0.535366,0.104888,6.700158,1.614833,0.823748,30.990014
2005,Money,0.557388,0.105650,4.872920,1.107953,0.674597,43.899581
2005,Social,0.583507,0.130975,5.234895,1.314581,0.673389,48.799253
2006,Money,0.403506,0.155651,9.476796,3.157424,0.929147,16.250834
2006,Social,0.083627,0.053339,4.389908,1.407259,0.284952,85.015213
2007,Money,0.390504,0.175715,2.788456,0.527984,0.432842,79.761987
2007,Social,0.109324,0.061508,6.608466,2.418889,0.687460,47.994190
2008,Money,0.340938,0.063224,7.517208,1.812730,0.697608,46.727955
2008,Social,0.286383,0.077168,6.159176,1.375148,0.768043,37.940056
