subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.200152,0.111225,0.030850,0.030932,8.367410,1.987431,0.814885,36.595571
1019,Social,0.182948,0.059381,0.147879,0.066561,6.509541,1.451190,0.695480,51.037621
1020,Money,0.117870,0.050822,0.007140,0.014380,10.241744,3.225420,0.813181,36.222777
1020,Social,0.122976,0.049583,0.483385,0.155806,7.563787,2.541273,0.750430,43.497744
1030,Money,0.313681,0.163336,0.040388,0.018609,3.679763,0.894590,0.362895,76.421435
1030,Social,0.092576,0.075371,0.018810,0.023060,5.728082,2.253580,0.489231,71.282360
2001,Money,0.039268,0.520278,0.000000,0.183242,7.454806,120.295734,0.352253,94.316532
2001,Social,0.790612,0.315076,0.000000,0.023829,4.518900,1.360960,0.867803,29.776407
2004,Money,0.301057,0.243283,0.357826,0.244530,10.035761,3.202648,0.937181,21.337136
2004,Social,0.646560,0.158591,0.445323,0.136082,6.877300,1.654858,0.830989,34.586366
2005,Money,0.696927,0.205742,0.022768,0.015964,8.635334,2.452247,0.792637,35.492514
2005,Social,0.218959,0.096322,0.002988,0.017637,8.337486,1.777202,0.799235,37.924153
2006,Money,0.378512,0.384147,0.414697,0.229328,9.462961,3.175486,0.929193,20.589706
2006,Social,0.216094,1.722316,0.000000,0.457610,5.136231,4.656759,0.479564,68.585145
2007,Money,0.320257,0.220851,0.446451,0.253771,2.788919,0.526832,0.433831,84.138349
2007,Social,0.079432,0.064438,0.125473,0.074693,6.836825,2.760227,0.690046,52.171324
2008,Money,0.133959,0.205511,1.000000,1.296144,7.820372,2.874308,0.753748,44.223478
2008,Social,0.066471,0.034748,0.483773,0.215556,8.570566,2.064050,0.787981,39.952340
