subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.200156,0.114425,0.030850,0.031179,8.367398,1.999304,0.814885,36.595571
1019,Social,0.182948,0.059604,0.147879,0.066597,6.509537,1.457713,0.695480,51.037621
1020,Money,0.117870,0.052058,0.007140,0.014719,10.241536,3.047545,0.813181,36.222777
1020,Social,0.122975,0.049982,0.483385,0.158385,7.563789,2.687775,0.750430,43.497744
1030,Money,0.313678,0.161675,0.040387,0.018692,3.679769,0.867899,0.362895,76.421435
1030,Social,0.092582,0.076617,0.018811,0.024435,5.727937,2.232892,0.489231,71.282360
2001,Money,0.039268,545.297046,0.000000,196.642367,7.454720,128558.344059,0.352253,94.316532
2001,Social,0.790612,2.151635,0.000000,0.955535,4.518899,30.396427,0.867803,29.776407
2004,Money,0.301057,0.244551,0.357826,0.242775,10.035759,3.202679,0.937181,21.337136
2004,Social,0.646560,0.163466,0.445323,0.136223,6.877309,1.674541,0.830989,34.586366
2005,Money,0.696931,0.197713,0.022768,0.016048,8.635403,2.459245,0.792637,35.492514
2005,Social,0.218957,0.096288,0.002988,0.017726,8.337490,1.842767,0.799235,37.924153
2006,Money,0.378512,0.384443,0.414697,0.221280,9.462959,3.040013,0.929193,20.589706
2006,Social,0.216094,7.675223,0.000000,1.938761,5.136228,22.589906,0.479564,68.585145
2007,Money,0.320257,0.226747,0.446452,0.251873,2.788919,0.524573,0.433831,84.138349
2007,Social,0.079432,0.064925,0.125472,0.073519,6.836821,2.688911,0.690046,52.171324
2008,Money,0.133959,0.151138,1.000000,0.618604,7.820385,2.022598,0.753748,44.223478
2008,Social,0.066471,0.035162,0.483773,0.216526,8.570526,1.985971,0.787981,39.952340
