subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.200151,0.113299,0.030849,0.030958,8.367381,2.016256,0.814885,36.595571
1019,Social,0.182949,0.061829,0.147879,0.068753,6.509515,1.496021,0.695480,51.037621
1020,Money,0.117868,0.050343,0.007140,0.014454,10.241675,3.210831,0.813181,36.222777
1020,Social,0.122976,0.049568,0.483384,0.159378,7.563791,2.588523,0.750430,43.497744
1030,Money,0.313679,0.163487,0.040388,0.018612,3.679767,0.900168,0.362895,76.421435
1030,Social,0.092580,0.075713,0.018811,0.023418,5.727920,2.234861,0.489231,71.282360
2001,Money,0.039268,0.032482,0.000000,0.006881,7.454812,6.857142,0.352253,94.316532
2001,Social,0.790612,0.320812,0.000000,0.023668,4.518899,1.317997,0.867803,29.776407
2004,Money,0.301057,0.242743,0.357825,0.243283,10.035758,3.205902,0.937181,21.337136
2004,Social,0.646559,0.160853,0.445322,0.137187,6.877305,1.692512,0.830989,34.586366
2005,Money,0.696934,0.193977,0.022768,0.015650,8.635382,2.402525,0.792637,35.492514
2005,Social,0.218956,0.095940,0.002987,0.017570,8.337511,1.838671,0.799235,37.924153
2006,Money,0.378512,0.390276,0.414697,0.228900,9.462962,3.185538,0.929193,20.589706
2006,Social,0.216094,1.074115,0.000000,0.284143,5.136227,3.333930,0.479564,68.585145
2007,Money,0.320257,0.217271,0.446452,0.253174,2.788918,0.522604,0.433831,84.138349
2007,Social,0.079431,0.059721,0.125472,0.073545,6.836831,2.614765,0.690046,52.171324
2008,Money,0.133959,0.187789,1.000000,1.395949,7.820397,1.932357,0.753748,44.223478
2008,Social,0.066471,0.034753,0.483772,0.219401,8.570557,2.070425,0.787981,39.952340
