subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.370897,0.078517,6.067594,1.300588,0.735675,41.978552
1019,Social,0.181537,0.053133,6.291811,1.422157,0.691518,47.037901
1020,Money,0.310057,0.078248,5.723567,1.322413,0.705845,44.839772
1020,Social,0.147345,0.102236,7.163997,3.538269,0.732613,41.180727
1030,Money,0.182961,0.082077,1.708612,0.606108,0.059161,102.461526
1030,Social,0.335994,0.112492,2.956031,0.636712,0.385042,78.719469
2001,Money,0.018563,0.013525,5.455748,3.179293,0.183544,110.865995
2001,Social,0.760653,0.187689,3.334821,1.077667,0.313798,93.640971
2004,Money,0.330839,0.112683,10.071993,3.208344,0.937047,16.854005
2004,Social,0.535366,0.105090,6.700152,1.577274,0.823748,30.990014
2005,Money,0.557387,0.106745,4.872922,1.121362,0.674597,43.899581
2005,Social,0.583508,0.128078,5.234893,1.301473,0.673389,48.799253
2006,Money,0.403506,0.156989,9.476802,3.184440,0.929147,16.250834
2006,Social,0.083628,0.053611,4.389910,1.399116,0.284952,85.015213
2007,Money,0.390505,0.174512,2.788457,0.532671,0.432842,79.761987
2007,Social,0.109324,0.062350,6.608481,2.446860,0.687460,47.994190
2008,Money,0.340938,0.063505,7.517228,1.863969,0.697608,46.727955
2008,Social,0.286382,0.084807,6.159181,1.390612,0.768043,37.940056
