subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.370897,0.078839,6.067585,1.296235,0.735675,41.978552
1019,Social,0.181537,0.053252,6.291824,1.432068,0.691518,47.037901
1020,Money,0.310058,0.078325,5.723563,1.322198,0.705845,44.839772
1020,Social,0.147346,0.100772,7.163971,3.444312,0.732613,41.180727
1030,Money,0.182961,0.081713,1.708609,0.605994,0.059161,102.461526
1030,Social,0.335994,0.111827,2.956029,0.623946,0.385042,78.719469
2001,Money,0.018563,0.013544,5.455773,3.196300,0.183544,110.865995
2001,Social,0.760653,0.188125,3.334819,1.077144,0.313798,93.640971
2004,Money,0.330839,0.110625,10.072004,3.211782,0.937047,16.854005
2004,Social,0.535366,0.104888,6.700158,1.614813,0.823748,30.990014
2005,Money,0.557388,0.105641,4.872920,1.108086,0.674597,43.899581
2005,Social,0.583507,0.130975,5.234895,1.314580,0.673389,48.799253
2006,Money,0.403506,0.155646,9.476796,3.157873,0.929147,16.250834
2006,Social,0.083628,0.053676,4.389907,1.420136,0.284952,85.015213
2007,Money,0.390504,0.175244,2.788456,0.527910,0.432842,79.761987
2007,Social,0.109324,0.061507,6.608465,2.418849,0.687460,47.994190
2008,Money,0.340938,0.063225,7.517208,1.812728,0.697608,46.727955
2008,Social,0.286383,0.077168,6.159176,1.375151,0.768043,37.940056
