subject,condition,alpha1,alpha1_se,alpha2,alpha2_se,alpha3,alpha3_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.866089,0.060201,0.789130,0.231797,0.212015,0.144769,7.099283,3.297582,0.690354,56.632699
1019,Social,0.695706,0.145755,0.784939,0.174146,0.211283,0.214106,3.348929,0.858940,0.453499,85.381971
1020,Money,0.898823,0.071133,0.421961,0.181066,0.347656,0.181982,3.779078,0.867626,0.621278,64.111140
1020,Social,0.839680,0.103489,0.505884,0.258841,0.175114,0.200141,4.927298,1.953161,0.549613,72.183759
1030,Money,0.786479,0.573089,0.000000,2.459595,1.000000,1.298507,0.634253,0.866119,0.038523,113.074752
1030,Social,1.000000,1.112691,0.000000,1.113990,0.479889,0.665668,1.061734,0.659561,0.217547,106.573113
2001,Money,0.010636,0.016612,0.631075,0.096481,0.172342,0.080244,6.904572,2.959067,0.331052,101.461501
2001,Social,1.000000,1.000185,0.000000,3.241621,1.000000,1.003199,0.042318,0.084352,-0.101962,153.914821
2004,Money,0.792586,0.142120,0.139481,0.270747,0.650001,0.323861,10.438434,4.605366,0.928000,26.982387
2004,Social,1.000000,0.344783,0.657771,0.218021,1.000000,2.088135,2.311511,1.087630,0.419965,90.368175
2005,Money,1.000000,1.000579,0.454403,0.609351,0.416118,0.305095,3.706543,3.645006,0.698271,50.053033
2005,Social,1.000000,0.590961,0.000000,99.298126,0.000000,215.271383,0.750411,789.857178,0.247048,109.764877
2006,Money,0.789054,0.165478,0.341429,0.242338,0.195465,0.455642,8.970051,3.363752,0.922522,25.645589
2006,Social,0.000441,0.000000,0.000000,0.000000,0.000000,0.000000,3.002564,0.000000,-0.038116,128.188554
2007,Money,0.130037,0.022027,0.126976,0.039236,0.239101,0.130457,7.646731,2.717893,0.564327,72.356665
2007,Social,0.950994,0.153373,0.287959,0.278755,1.000000,1.533635,2.071761,0.520902,0.397170,93.212266
2008,Money,1.000000,1.000181,0.406609,0.336297,0.144907,0.140701,6.059971,4.468092,0.795977,43.454445
2008,Social,0.993018,0.061223,0.064259,0.209450,0.302616,0.463402,2.055004,0.564706,0.394359,93.562969
