subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.370897,0.078044,6.067592,1.297981,0.735675,41.978552
1019,Social,0.181537,0.053317,6.291823,1.446157,0.691518,47.037901
1020,Money,0.310057,0.078383,5.723569,1.318559,0.705845,44.839772
1020,Social,0.147345,0.101986,7.164004,3.515185,0.732613,41.180727
1030,Money,0.182961,0.081046,1.708610,0.603675,0.059161,102.461526
1030,Social,0.335994,0.111555,2.956031,0.628502,0.385042,78.719469
2001,Money,0.018561,0.013395,5.456280,3.160703,0.183544,110.865995
2001,Social,0.760654,0.187364,3.334818,1.069051,0.313798,93.640971
2004,Money,0.330839,0.112806,10.072002,3.264394,0.937047,16.854005
2004,Social,0.535366,0.105565,6.700158,1.619209,0.823748,30.990014
2005,Money,0.557387,0.106177,4.872923,1.107231,0.674597,43.899581
2005,Social,0.583507,0.129922,5.234898,1.305242,0.673389,48.799253
2006,Money,0.403506,0.155589,9.476797,3.176763,0.929147,16.250834
2006,Social,0.083628,0.053362,4.389903,1.405860,0.284952,85.015213
2007,Money,0.390504,0.173914,2.788456,0.525030,0.432842,79.761987
2007,Social,0.109325,0.062005,6.608443,2.438495,0.687460,47.994190
2008,Money,0.340938,0.062981,7.517218,1.848971,0.697608,46.727955
2008,Social,0.286382,0.082885,6.159179,1.374198,0.768043,37.940056
