subject,trial,slotchoice,reward,ExpectedValue,RPE
2006,1,3,2,2.000000,0.000000
2006,2,-99,-197,-99.000000,-99.000000
2006,3,1,3,2.000000,1.000000
2006,4,3,2,2.000000,0.000000
2006,5,1,3,2.083628,0.916372
2006,6,3,2,2.000000,0.000000
2006,7,1,3,2.160262,0.839738
2006,8,1,3,2.230487,0.769513
2006,9,3,2,2.000000,0.000000
2006,10,3,2,2.000000,0.000000
2006,11,3,2,2.000000,0.000000
2006,12,3,2,2.000000,0.000000
2006,13,1,3,2.294840,0.705160
2006,14,3,1,2.000000,-1.000000
2006,15,3,2,1.916372,0.083628
2006,16,3,2,1.923366,0.076634
2006,17,3,2,1.929775,0.070225
2006,18,1,3,2.353811,0.646189
2006,19,1,3,2.407850,0.592150
2006,20,3,2,1.935647,0.064353
2006,21,3,2,1.941029,0.058971
2006,22,3,2,1.945961,0.054039
2006,23,3,2,1.950480,0.049520
2006,24,3,2,1.954621,0.045379
2006,25,1,3,2.457371,0.542629
2006,26,3,1,1.958416,-0.958416
2006,27,1,2,2.502749,-0.502749
2006,28,1,3,2.460706,0.539294
2006,29,3,2,1.878266,0.121734
2006,30,-99,-197,-99.000000,-99.000000
2006,31,1,3,2.505806,0.494194
2006,32,3,3,1.888446,1.111554
2006,33,1,3,2.547134,0.452866
2006,34,3,2,1.981403,0.018597
2006,35,3,2,1.982958,0.017042
2006,36,3,2,1.984383,0.015617
2006,37,3,2,1.985689,0.014311
2006,38,3,2,1.986886,0.013114
2006,39,1,2,2.585006,-0.585006
2006,40,3,2,1.987983,0.012017
2006,41,3,3,1.988988,1.011012
2006,42,-99,-197,-99.000000,-99.000000
2006,43,3,2,2.073536,-0.073536
2006,44,1,3,2.536083,0.463917
2006,45,1,2,2.574880,-0.574880
2006,46,1,2,2.526804,-0.526804
2006,47,1,2,2.482748,-0.482748
2006,48,3,2,2.067387,-0.067387
2006,49,1,3,2.442377,0.557623
2006,50,1,3,2.489010,0.510990
2006,51,3,2,2.061751,-0.061751
2006,52,3,2,2.056587,-0.056587
2006,53,1,3,2.531743,0.468257
2006,54,3,2,2.051855,-0.051855
2006,55,-99,-197,-99.000000,-99.000000
2006,56,1,3,2.570902,0.429098
2006,57,-99,-197,-99.000000,-99.000000
2006,58,1,3,2.606787,0.393213
2006,59,1,3,2.639670,0.360330
2006,60,-99,-197,-99.000000,-99.000000
2006,61,1,2,2.669804,-0.669804
2006,62,1,3,2.613790,0.386210
2006,63,1,3,2.646088,0.353912
2006,64,3,2,2.047518,-0.047518
2006,65,3,2,2.043545,-0.043545
2006,66,1,3,2.675684,0.324316
2006,67,-99,-197,-99.000000,-99.000000
2006,68,1,3,2.702806,0.297194
2006,69,1,3,2.727660,0.272340
2006,70,3,2,2.039903,-0.039903
2006,71,3,3,2.036566,0.963434
2006,72,3,2,2.117136,-0.117136
2006,73,1,3,2.750435,0.249565
2006,74,3,2,2.107340,-0.107340
2006,75,3,3,2.098363,0.901637
2006,76,1,3,2.771306,0.228694
2006,77,3,2,2.173765,-0.173765
2006,78,1,3,2.790431,0.209569
2006,79,3,2,2.159234,-0.159234
2006,80,3,2,2.145917,-0.145917
2006,81,1,3,2.807957,0.192043
2006,82,1,3,2.824017,0.175983
2006,83,1,2,2.838734,-0.838734
2006,84,3,2,2.133715,-0.133715
2006,85,3,1,2.122532,-1.122532
2006,86,3,2,2.028657,-0.028657
2006,87,3,3,2.026261,0.973739
2006,88,1,3,2.768592,0.231408
2006,89,-99,-197,-99.000000,-99.000000
2006,90,1,3,2.787945,0.212055
2006,91,-99,-197,-99.000000,-99.000000
2006,92,-99,-197,-99.000000,-99.000000
2006,93,1,3,2.805678,0.194322
2006,94,1,2,2.821929,-0.821929
2006,95,-99,-197,-99.000000,-99.000000
2006,96,-99,-197,-99.000000,-99.000000
2006,97,-99,-197,-99.000000,-99.000000
2006,98,3,2,2.107693,-0.107693
2006,99,-99,-197,-99.000000,-99.000000
2006,100,1,3,2.753193,0.246807
