subject,trial,slotchoice,reward,ExpectedValue,RPE
2008,1,1,1,0.000000,1.000000
2008,2,3,-1,0.000000,-1.000000
2008,3,1,1,0.273240,0.726760
2008,4,2,-1,0.000000,-1.000000
2008,5,1,1,0.471819,0.528181
2008,6,3,0,-0.223764,0.223764
2008,7,1,1,0.616139,0.383861
2008,8,1,1,0.721025,0.278975
2008,9,3,0,-0.162623,0.162623
2008,10,3,0,-0.118188,0.118188
2008,11,3,0,-0.085894,0.085894
2008,12,3,0,-0.062424,0.062424
2008,13,1,0,0.797252,-0.797252
2008,14,3,0,-0.045368,0.045368
2008,15,3,0,-0.032971,0.032971
2008,16,3,0,-0.023962,0.023962
2008,17,1,1,0.618856,0.381144
2008,18,1,1,0.723000,0.277000
2008,19,1,1,0.798687,0.201313
2008,20,3,-1,-0.017415,-0.982585
2008,21,3,0,-0.237282,0.237282
2008,22,3,0,-0.172447,0.172447
2008,23,3,-1,-0.125328,-0.874672
2008,24,3,0,-0.321047,0.321047
2008,25,1,1,0.853694,0.146306
2008,26,3,0,-0.233325,0.233325
2008,27,1,1,0.893670,0.106330
2008,28,1,0,0.922724,-0.922724
2008,29,3,0,-0.169571,0.169571
2008,30,3,0,-0.123238,0.123238
2008,31,1,1,0.716252,0.283748
2008,32,3,0,-0.089564,0.089564
2008,33,3,0,-0.065092,0.065092
2008,34,3,0,-0.047306,0.047306
2008,35,1,1,0.793783,0.206217
2008,36,3,1,-0.034380,1.034380
2008,37,3,0,0.248253,-0.248253
2008,38,3,0,0.192703,-0.192703
2008,39,1,0,0.850130,-0.850130
2008,40,3,0,0.149583,-0.149583
2008,41,3,0,0.116112,-0.116112
2008,42,3,-1,0.090130,-1.090130
2008,43,3,1,-0.153801,1.153801
2008,44,1,0,0.659902,-0.659902
2008,45,1,1,0.512240,0.487760
2008,46,1,1,0.645515,0.354485
2008,47,1,1,0.742374,0.257626
2008,48,3,0,0.161463,-0.161463
2008,49,1,1,0.812768,0.187232
2008,50,1,1,0.863927,0.136073
2008,51,3,0,0.125333,-0.125333
2008,52,3,1,0.097288,0.902712
2008,53,1,1,0.901108,0.098892
2008,54,3,0,0.343945,-0.343945
2008,55,3,0,0.266983,-0.266983
2008,56,1,1,0.928129,0.071871
2008,57,1,0,0.947767,-0.947767
2008,58,1,1,0.735691,0.264309
2008,59,1,1,0.807911,0.192089
2008,60,3,0,0.207242,-0.207242
2008,61,1,1,0.860397,0.139603
2008,62,1,1,0.898542,0.101458
2008,63,1,1,0.926264,0.073736
2008,64,3,0,0.160868,-0.160868
2008,65,3,0,0.124872,-0.124872
2008,66,1,1,0.946412,0.053588
2008,67,1,1,0.961054,0.038946
2008,68,1,1,0.971696,0.028304
2008,69,1,1,0.979430,0.020570
2008,70,1,1,0.985050,0.014950
2008,71,3,-1,0.096930,-1.096930
2008,72,3,0,-0.148523,0.148523
2008,73,1,0,0.989135,-0.989135
2008,74,3,0,-0.107941,0.107941
2008,75,3,0,-0.078447,0.078447
2008,76,1,1,0.767803,0.232197
2008,77,3,0,-0.057012,0.057012
2008,78,1,0,0.831248,-0.831248
2008,79,3,1,-0.041434,1.041434
2008,80,3,1,0.243127,0.756873
2008,81,1,1,0.645245,0.354755
2008,82,1,0,0.742178,-0.742178
2008,83,1,1,0.576106,0.423894
2008,84,3,0,0.449935,-0.449935
2008,85,3,0,0.349256,-0.349256
2008,86,3,0,0.271105,-0.271105
2008,87,3,1,0.210441,0.789559
2008,88,1,1,0.691930,0.308070
2008,89,1,1,0.776107,0.223893
2008,90,1,1,0.837284,0.162716
2008,91,3,0,0.426180,-0.426180
2008,92,1,1,0.881744,0.118256
2008,93,1,1,0.914056,0.085944
2008,94,1,1,0.937540,0.062460
2008,95,1,0,0.954606,-0.954606
2008,96,3,0,0.330816,-0.330816
2008,97,1,1,0.741000,0.259000
2008,98,3,-1,0.256792,-1.256792
2008,99,3,0,-0.024432,0.024432
2008,100,1,1,0.811769,0.188231
